Duration,Q1,Q2,Q3,Q4,SC0,bonus,perturb1,perturb2,perturb3,pg1score
53,1,2,2,1,1,61,2,2,2,29
17,7,2,5,1,1,24,1,1,1,29
23,1,2,4,2,1,47,2,2,2,29
18,4,2,2,1,1,61,2,2,2,29
11,8,2,5,1,1,76,1,2,2,29
26,5,2,5,1,1,36,1,1,2,29
46,10,6,6,1,1,59,2,1,2,69
32,2,6,6,1,1,92,2,2,1,69
32,6,2,7,1,1,34,1,1,1,29
55,6,3,4,1,1,21,1,1,1,39
24,5,4,5,1,1,67,1,2,1,49
27,1,2,3,1,1,29,1,1,2,29
7,5,5,3,1,1,66,1,2,2,59
35,5,1,4,1,1,21,2,1,1,21
39,3,4,5,1,1,36,2,1,1,49
47,8,2,6,1,1,29,1,1,1,29
30,7,3,6,1,1,31,1,1,1,39
18,5,4,5,1,1,75,2,2,1,49
19,7,3,3,1,1,37,2,1,2,39
30,5,2,5,1,1,80,2,2,2,29
60,4,4,5,1,1,75,2,2,1,49
19,4,2,2,1,1,44,1,2,1,29
24,11,2,5,1,1,76,1,2,2,29
32,6,4,5,1,1,79,1,2,2,49
25,6,2,5,1,1,29,2,1,1,29
18,7,1,5,1,1,38,2,1,2,21
40,4,3,3,1,1,30,1,1,2,39
40,3,3,3,2,1,45,2,2,2,39
23,12,4,7,1,1,99,1,2,2,49
43,11,2,5,1,1,36,1,1,2,29
24,3,2,7,1,1,95,1,2,2,29
22,12,4,5,1,1,48,2,1,2,49
17,2,2,4,1,1,54,1,2,1,29
47,5,5,7,1,1,98,2,2,1,59
87,5,1,5,1,1,35,1,1,2,21
16,10,1,5,1,1,66,2,2,1,21
30,1,1,4,1,1,52,1,2,1,21
19,2,2,5,1,1,29,2,1,1,29
136,3,5,7,1,1,49,2,1,1,59
49,1,2,5,2,1,56,2,2,2,29
17,12,4,6,1,1,89,1,2,2,49
23,4,2,2,1,1,61,2,2,2,29
32,9,3,4,1,1,27,2,1,1,39
89,1,5,6,1,1,56,2,1,2,59
46,10,3,5,1,1,26,1,1,1,39
51,1,2,2,1,1,26,1,1,2,29
23,3,6,5,1,1,82,1,2,2,69
14,4,6,5,1,1,94,2,2,2,69
47,11,2,5,1,1,24,1,1,1,29
23,7,5,6,1,1,90,1,2,2,59
25,8,2,5,1,1,76,1,2,2,29
18,4,6,5,1,1,70,1,2,1,69
16,3,6,5,1,1,31,1,1,1,69
32,4,3,5,1,1,32,2,1,1,39
45,3,2,6,1,1,85,1,2,2,29
25,9,5,5,1,1,90,2,2,2,59
13,7,5,5,1,1,90,2,2,2,59
47,1,2,2,2,1,32,1,2,1,29
14,3,2,5,2,1,52,1,2,1,29
28,6,3,7,1,1,48,1,1,2,39
27,5,2,5,1,1,76,1,2,2,29
36,2,3,5,1,1,77,1,2,2,39
36,6,2,3,1,1,61,1,2,2,29
35,5,2,3,1,1,66,2,2,2,29
27,8,3,7,1,1,97,1,2,2,39
29,6,2,5,1,1,76,1,2,2,29
86,1,1,4,2,1,40,1,2,1,21
32,3,3,3,1,1,37,2,1,2,39
43,6,2,6,1,1,78,2,2,1,29
30,5,4,4,1,1,43,2,1,2,49
38,4,1,5,1,1,38,2,1,2,21
31,4,2,6,2,1,62,1,2,2,29
23,9,3,5,2,1,53,1,2,1,39
54,4,2,4,1,1,54,1,2,1,29
45,11,3,4,1,1,74,2,2,2,39
26,5,3,5,1,1,77,1,2,2,39
15,4,2,5,1,1,80,2,2,2,29
28,11,4,6,1,1,97,2,2,2,49
39,6,2,6,1,1,41,1,1,2,29
31,5,2,6,2,1,17,1,1,2,29
25,6,3,5,1,1,65,1,2,1,39
33,5,5,7,1,1,49,2,1,1,59
36,1,1,3,1,1,51,2,2,1,21
28,6,1,4,1,1,68,2,2,2,21
46,5,4,5,1,1,67,1,2,1,49
21,10,1,5,1,1,62,1,2,1,21
52,7,2,4,1,1,71,2,2,2,29
28,6,2,5,1,1,76,1,2,2,29
48,8,2,6,1,1,29,1,1,1,29
37,5,2,5,1,1,41,2,1,2,29
